THE    DH_IY
HUNDREDTH    HH_AH AH_N N_D D_R R_AH AH_D D_TH
HOUSING    HH_AA AA_UH UH_Z Z_IH IH_NG
HOUSEHOLDS    HH_AA AA_UH UH_S S_HH HH_AO AO_UH UH_L L_D D_Z
HOST'S    HH_AO AO_UH UH_S S_T T_S
HOSKINS    HH_AA AA_S S_K K_IH IH_N N_Z
HORTENSE    HH_AO AO_R R_T T_EH EH_N N_S
HORSESHOE    HH_AO AO_R R_S S_SH SH_UW
HOOPINGTON    HH_UW UW_P P_IH IH_NG NG_T T_AH AH_N
HOOKE    HH_UH UH_K
HOMELAND    HH_AO AO_UH UH_M M_L L_AE AE_N N_D
HOLIEST    HH_AO AO_UH UH_L L_IY IY_IH IH_S S_T
HOFFMAN    HH_AO AO_F F_M M_AH AH_N
HOBBLE    HH_AA AA_B B_AH AH_L
HITS    HH_IH IH_T T_S
HINTOCK    HH_IH IH_N N_T T_AH AH_K
HILLY    HH_IH IH_L L_IY
HIEROGLYPHICS    HH_AA AA_IY IY_R R_AO AO_UH UH_G G_L L_IH IH_F F_IH IH_K K_S
HEZ    HH_EH EH_Z
HEW    HH_Y Y_UW
HERO'S    HH_IY IY_R R_AO AO_UH UH_Z
HERMETICALLY    HH_UH UH_R R_M M_EH EH_T T_IH IH_K K_L L_IY
HEREIN    HH_IH IH_R R_IH IH_N
HERACLES    HH_EH EH_R R_AH AH_K K_AH AH_L L_Z
HELLISH    HH_EH EH_L L_IH IH_SH
HEINOUS    HH_EH EH_IY IY_N N_AH AH_S
HEARTEDNESS    HH_AA AA_R R_T T_IH IH_D D_N N_AH AH_S
HEARKENING    HH_AA AA_R R_K K_AH AH_N N_IH IH_NG
HEADLAND    HH_EH EH_D D_L L_AH AH_N N_D
HAUGHTINESS    HH_AO AO_T T_IY IY_N N_AH AH_S
HATCHING    HH_AE AE_CH CH_IH IH_NG
HARPERS    HH_AA AA_R R_P P_UH UH_R R_Z
HARMED    HH_AA AA_R R_M M_D
HARLOWE    HH_AA AA_R R_L L_AO AO_UH
HARLEQUIN    HH_AA AA_R R_L L_AH AH_K K_W W_AH AH_N
HAREM    HH_EH EH_R R_AH AH_M
HANDICAPPED    HH_AE AE_N N_D D_IY IY_K K_AE AE_P P_T
HANDBILLS    HH_AE AE_N N_D D_B B_IH IH_L L_Z
HAMMOCKS    HH_AE AE_M M_AH AH_K K_S
HAGUE    HH_EH EH_IY IY_G
HACKNEY    HH_AE AE_K K_N N_IY
GYMNASTIC    JH_IH IH_M M_N N_AE AE_S S_T T_IH IH_K
GURGLING    G_UH UH_R R_G G_L L_IH IH_NG
GULP    G_AH AH_L L_P
GUIRE    G_AA AA_IY IY_R
GUILELESS    G_AA AA_IY IY_L L_L L_AH AH_S
GUARDY    G_AA AA_R R_D D_IY
GROWTHS    G_R R_AO AO_UH UH_TH TH_S
GROOVES    G_R R_UW UW_V V_Z
GROCER'S    G_R R_AO AO_UH UH_S S_UH UH_R R_Z
GRIPE    G_R R_AA AA_IY IY_P
GRINS    G_R R_IH IH_N N_Z
GRIMAUD    G_R R_IY IY_M M_AA AA_D
GREYSTOCK    G_R R_EH EH_IY IY_S S_T T_AA AA_K
GRENFELL    G_R R_EH EH_N N_F F_AH AH_L
GREENWOOD    G_R R_IY IY_N N_W W_UH UH_D
GREENWICH    G_R R_IY IY_N N_W W_IH IH_CH
GRANTLINE    G_R R_AE AE_N N_T T_L L_AA AA_IY IY_N
GRANDMOTHERS    G_R R_AE AE_N N_M M_AH AH_DH DH_UH UH_R R_Z
GOULD'S    G_UW UW_L L_D D_Z
GOSAIN    G_AO AO_UH UH_S S_EH EH_IY IY_N
GORGED    G_AO AO_R R_JH JH_D
GOODFELLOW    G_UH UH_D D_F F_EH EH_L L_AO AO_UH
GONZALEZ    G_AA AA_N N_Z Z_AA AA_L L_AH AH_Z
GODLY    G_AA AA_D D_L L_IY
GOADED    G_AO AO_UH UH_D D_IH IH_D
GNATS    N_AE AE_T T_S
GNARLED    N_AA AA_R R_L L_D
GLUTTONY    G_L L_AH AH_T T_AH AH_N N_IY
GLORIED    G_L L_AO AO_R R_IY IY_D
GLORIA    G_L L_AO AO_R R_IY IY_AH
GLOMAX    G_L L_AO AO_UH UH_M M_AE AE_K K_S
GLOCESTER    G_L L_AA AA_UH UH_S S_T T_UH UH_R
GLIBLY    G_L L_IH IH_B B_L L_IY
GLEANED    G_L L_IY IY_N N_D
GLASTONBURY    G_L L_AE AE_S S_T T_AH AH_N N_B B_EH EH_R R_IY
GLASSDALE    G_L L_AE AE_S S_D D_EH EH_IY IY_L
GIST    JH_IH IH_S S_T
GIRTH    G_UH UH_R R_TH
GINGERLY    JH_IH IH_N N_JH JH_UH UH_R R_L L_IY
GILL    G_IH IH_L
GILDING    G_IH IH_L L_D D_IH IH_NG
GEORGETOWN    JH_AO AO_R R_JH JH_T T_AA AA_UH UH_N
GEOLOGISTS    JH_IY IY_AA AA_L L_AH AH_JH JH_IH IH_S S_T T_S
GENIUSES    JH_IY IY_N N_Y Y_AH AH_S S_IH IH_Z
GENERIC    JH_AH AH_N N_EH EH_R R_IH IH_K
GENERALIZATION    JH_EH EH_N N_R R_AH AH_L L_IH IH_Z Z_EH EH_IY IY_SH SH_AH AH_N
GAZELLE    G_AH AH_Z Z_EH EH_L
GARRISONS    G_AE AE_R R_IH IH_S S_AH AH_N N_Z
GARRICK    G_EH EH_R R_IH IH_K
GAPED    G_EH EH_IY IY_P P_T
GANGES    G_AE AE_N N_JH JH_IY IY_Z
GAMING    G_EH EH_IY IY_M M_IH IH_NG
GAMBLERS    G_AE AE_M M_B B_L L_UH UH_R R_Z
FULFILLMENT    F_UH UH_L L_F F_IH IH_L L_M M_AH AH_N N_T
FRUSTRATE    F_R R_AH AH_S S_T T_R R_EH EH_IY IY_T
FRETFUL    F_R R_EH EH_T T_F F_AH AH_L
FREAKS    F_R R_IY IY_K K_S
FRAUDULENT    F_R R_AO AO_JH JH_AH AH_L L_AH AH_N N_T
FRANK'S    F_R R_AE AE_NG NG_K K_S
FRAILTY    F_R R_EH EH_IY IY_L L_T T_IY
FRAID    F_R R_EH EH_IY IY_D
FOWLER    F_AA AA_UH UH_L L_UH UH_R
FOURTHLY    F_AO AO_R R_TH TH_L L_IY
FOUNT    F_AA AA_UH UH_N N_T
FOSSILS    F_AA AA_S S_AH AH_L L_Z
FORMULAE    F_AO AO_R R_M M_Y Y_AH AH_L L_EH EH_IY
FORGIVES    F_UH UH_R R_G G_IH IH_V V_Z
FORETHOUGHT    F_AO AO_R R_TH TH_AO AO_T
FOREHEADS    F_AO AO_R R_HH HH_EH EH_D D_Z
FOOTSTEP    F_UH UH_T T_S S_T T_EH EH_P
FOOTPRINT    F_UH UH_T T_P P_R R_IH IH_N N_T
FOOTHILLS    F_UH UH_T T_HH HH_IH IH_L L_Z
FO    F_AO AO_UH
FLUTES    F_L L_UW UW_T T_S
FLUTE    F_L L_UW UW_T
FLUIDS    F_L L_UW UW_IH IH_D D_Z
FLORID    F_L L_AO AO_R R_AH AH_D
FLOP    F_L L_AA AA_P
FLOE    F_L L_AO AO_UH
FLOCKING    F_L L_AA AA_K K_IH IH_NG
FLIRTED    F_L L_UH UH_R R_T T_IH IH_D
FLARED    F_L L_EH EH_R R_D
FLAPS    F_L L_AE AE_P P_S
FLAGSTAFF    F_L L_AE AE_G G_S S_T T_AE AE_F
FIXES    F_IH IH_K K_S S_IH IH_Z
FISHER'S    F_IH IH_SH SH_UH UH_R R_Z
FISHBONE    F_IH IH_SH SH_B B_AO AO_UH UH_N
FIGHTIN    F_AA AA_IY IY_T T_IH IH_N
FIDGETED    F_IH IH_JH JH_IH IH_T T_AH AH_D
FEVERS    F_IY IY_V V_UH UH_R R_Z
FEUDS    F_Y Y_UW UW_D D_Z
FETTERED    F_EH EH_T T_UH UH_R R_D
FERRYMAN    F_EH EH_R R_IY IY_M M_AH AH_N
FERRET    F_EH EH_R R_AH AH_T
FERRARA    F_UH UH_R R_AA AA_R R_AH
FERMENTED    F_UH UH_R R_M M_EH EH_N N_T T_AH AH_D
FERE    F_EH EH_R
FERDY    F_UH UH_R R_D D_IY
FELLING    F_EH EH_L L_IH IH_NG
FELICITOUS    F_IH IH_L L_IH IH_S S_AH AH_T T_AH AH_S
FEARLESSNESS    F_IH IH_R R_L L_AH AH_S S_N N_AH AH_S
FE    F_EH EH_IY
FAX    F_AE AE_K K_S
FALCON    F_AE AE_L L_K K_AH AH_N
FALADA    F_AH AH_L L_AA AA_D D_AH
FAILINGS    F_EH EH_IY IY_L L_IH IH_NG NG_Z
FADES    F_EH EH_IY IY_D D_Z
FACILE    F_AE AE_S S_AH AH_L
FACADE    F_AH AH_S S_AA AA_D
EYEBALLS    AA_IY IY_B B_AO AO_L L_Z
EXUBERANT    IH_G G_Z Z_UW UW_B B_UH UH_R R_AH AH_N N_T
EXTOLLED    IH_K K_S S_T T_AO AO_UH UH_L L_D
EXTERMINATED    IH_K K_S S_T T_UH UH_R R_M M_AH AH_N N_EH EH_IY IY_T T_IH IH_D
EXPOSTULATED    IH_K K_S S_P P_AA AA_S S_CH CH_AH AH_L L_EH EH_IY IY_T T_IH IH_D
EXPANDS    IH_K K_S S_P P_AE AE_N N_D D_Z
EXECUTIONERS    EH_K K_S S_AH AH_K K_Y Y_UW UW_SH SH_AH AH_N N_UH UH_R R_Z
EXECRABLE    EH_G G_Z Z_EH EH_K K_R R_AH AH_B B_AH AH_L
EXCRUCIATING    IH_K K_S S_K K_R R_UW UW_SH SH_IY IY_EH EH_IY IY_T T_IH IH_NG
EXCITES    IH_K K_S S_AA AA_IY IY_T T_S
EXCEPTED    IH_K K_S S_EH EH_P P_T T_IH IH_D
EXCAVATED    EH_K K_S S_K K_AH AH_V V_EH EH_IY IY_T T_IH IH_D
EVOLVING    IY_V V_AA AA_L L_V V_IH IH_NG
EVERGREEN    EH_V V_UH UH_R R_G G_R R_IY IY_N
EVASION    IY_V V_EH EH_IY IY_ZH ZH_AH AH_N
EVADED    IY_V V_EH EH_IY IY_D D_IH IH_D
EVACUATION    IY_V V_AE AE_K K_Y Y_AH AH_W W_EH EH_IY IY_SH SH_AH AH_N
EUNICE    Y_UW UW_N N_IH IH_S
ETON    IY_T T_AH AH_N
ETHELRED    EH_TH TH_IH IH_L L_R R_IH IH_D
ESSENTIALS    IY_S S_EH EH_N N_SH SH_AH AH_L L_Z
ESPOUSED    IH_S S_P P_AA AA_UH UH_Z Z_D
ENTWINED    EH_N N_T T_W W_AA AA_IY IY_N N_D
ENTREATING    EH_N N_T T_R R_IY IY_T T_IH IH_NG
ENTICING    EH_N N_T T_AA AA_IY IY_S S_IH IH_NG
ENTHRONED    EH_N N_TH TH_R R_AO AO_UH UH_N N_D
ENSUES    IH_N N_S S_UW UW_Z
ENSIGN    EH_N N_S S_AH AH_N
ENORMITIES    IH_N N_AO AO_R R_M M_AH AH_T T_IY IY_Z
ENNOBLED    IH_N N_AO AO_UH UH_B B_AH AH_L L_D
ENLARGING    IH_N N_L L_AA AA_R R_JH JH_IH IH_NG
ENIGMAS    IH_N N_IH IH_G G_M M_AH AH_Z
ENGAGES    EH_N N_G G_EH EH_IY IY_JH JH_IH IH_Z
ENDOWMENT    EH_N N_D D_AA AA_UH UH_M M_AH AH_N N_T
ENDANGER    EH_N N_D D_EH EH_IY IY_N N_JH JH_UH UH_R
ENCROACH    IH_N N_K K_R R_AO AO_UH UH_CH
ENAMOURED    EH_N N_AE AE_M M_UH UH_R R_D
EMPHASIZING    EH_M M_F F_AH AH_S S_AA AA_IY IY_Z Z_IH IH_NG
EMISSARIES    EH_M M_AH AH_S S_EH EH_R R_IY IY_Z
EMILY'S    EH_M M_IH IH_L L_IY IY_Z
EMBRYO    EH_M M_B B_R R_IY IY_AO AO_UH
EMBLEMS    EH_M M_B B_L L_AH AH_M M_Z
EMACIATED    IH_M M_EH EH_IY IY_SH SH_IY IY_EH EH_IY IY_T T_IH IH_D
ELVES    EH_L L_V V_Z
ELLIPSE    IH_L L_IH IH_P P_S
ELIJAH    IY_L L_AA AA_IY IY_JH JH_AH
ELEVATOR    EH_L L_AH AH_V V_EH EH_IY IY_T T_UH UH_R
EDITH'S    IY_D D_IH IH_TH TH_S
ECTOR    EH_K K_T T_UH UH_R
DWELLERS    D_W W_EH EH_L L_UH UH_R R_Z
DUTCHMAN    D_AH AH_CH CH_M M_AH AH_N
DUOMO    D_W W_AO AO_UH UH_M M_AO AO_UH
DUET    D_Y Y_UW UW_EH EH_T
DUCHY    D_AH AH_CH CH_IY
DUC    D_AH AH_K
DUBIOUSLY    D_UW UW_B B_IY IY_AH AH_S S_L L_IY
DRUMMED    D_R R_AH AH_M M_D
DROPT    D_R R_AA AA_P P_T
DRAT    D_R R_AE AE_T
DOWNY    D_AA AA_UH UH_N N_IY
DORMANT    D_AO AO_R R_M M_AH AH_N N_T
DOLLY'S    D_AA AA_L L_IY IY_Z
DOLL'S    D_AA AA_L L_Z
DOLITTLE    D_AH AH_L L_IH IH_T T_AH AH_L
DOGMAS    D_AA AA_G G_M M_AH AH_Z
DIZZILY    D_IH IH_Z Z_AH AH_L L_IY
DIVINITIES    D_IH IH_V V_IH IH_N N_AH AH_T T_IY IY_Z
DIVINELY    D_IH IH_V V_AA AA_IY IY_N N_L L_IY
DIVERGENCE    D_IH IH_V V_UH UH_R R_JH JH_AH AH_N N_S
DIVER    D_AA AA_IY IY_V V_UH UH_R
DISSEMBLED    D_IH IH_S S_EH EH_M M_B B_AH AH_L L_D
DISSECTED    D_AA AA_IY IY_S S_EH EH_K K_T T_AH AH_D
DISRESPECT    D_IH IH_S S_R R_IH IH_S S_P P_EH EH_K K_T
DISPOSES    D_IH IH_S S_P P_AO AO_UH UH_Z Z_IH IH_Z
DISPERSING    D_IH IH_S S_P P_UH UH_R R_S S_IH IH_NG
DISPATCHES    D_IH IH_S S_P P_AE AE_CH CH_IH IH_Z
DISPARITY    D_IH IH_S S_P P_EH EH_R R_AH AH_T T_IY
DISOWNED    D_IH IH_S S_AO AO_UH UH_N N_D
DISILLUSIONMENT    D_IH IH_S S_IH IH_L L_UW UW_ZH ZH_AH AH_N N_M M_AH AH_N N_T
DISCOURSING    D_IH IH_S S_K K_UH UH_R R_S S_IH IH_NG
DISCOLOURED    D_IH IH_S S_K K_AH AH_L L_UH UH_R R_D
DISBELIEVE    D_IH IH_S S_B B_AH AH_L L_IY IY_V
DISBELIEF    D_IH IH_S S_B B_IH IH_L L_IY IY_F
DIONYSIUS    D_AA AA_IY IY_AH AH_N N_IH IH_S S_IY IY_AH AH_S
DIMPLE    D_IH IH_M M_P P_AH AH_L
DIME    D_AA AA_IY IY_M
DIGNITIES    D_IH IH_G G_N N_AH AH_T T_IY IY_Z
DICKY'S    D_IH IH_K K_IY IY_Z
DIALECTS    D_AA AA_IY IY_AH AH_L L_EH EH_K K_T T_S
DEVOTEES    D_EH EH_V V_AH AH_T T_IY IY_Z
DEVOTEDLY    D_IH IH_V V_AO AO_UH UH_T T_AH AH_D D_L L_IY
DEVASTATING    D_EH EH_V V_AH AH_S S_T T_EH EH_IY IY_T T_IH IH_NG
DETHRONED    D_IY IY_TH TH_R R_AO AO_UH UH_N N_D
DETESTATION    D_IY IY_T T_EH EH_S S_T T_EH EH_IY IY_SH SH_AH AH_N
DETER    D_IH IH_T T_UH UH_R
DESTROYERS    D_IH IH_S S_T T_R R_AO AO_IY IY_UH UH_R R_Z
DESTITUTION    D_EH EH_S S_T T_AH AH_T T_UW UW_SH SH_AH AH_N
DESPISING    D_IH IH_S S_P P_AA AA_IY IY_Z Z_IH IH_NG
DESPISES    D_IH IH_S S_P P_AA AA_IY IY_Z Z_IH IH_Z
DESIGNING    D_IH IH_Z Z_AA AA_IY IY_N N_IH IH_NG
DESCRIPTIVE    D_IH IH_S S_K K_R R_IH IH_P P_T T_IH IH_V
DERISIVE    D_UH UH_R R_IH IH_S S_IH IH_V
DEPRECATION    D_EH EH_P P_R R_AH AH_K K_EH EH_IY IY_SH SH_AH AH_N
DENVER    D_EH EH_N N_V V_UH UH_R
DENOMINATE    D_IH IH_N N_AA AA_M M_AH AH_N N_EH EH_IY IY_T
DELUSIVE    D_IH IH_L L_UW UW_S S_IH IH_V
DELINEATED    D_IH IH_L L_IH IH_N N_IY IY_EH EH_IY IY_T T_IH IH_D
DELIGHTING    D_IH IH_L L_AA AA_IY IY_T T_IH IH_NG
DELECTABLE    D_IH IH_L L_EH EH_K K_T T_AH AH_B B_AH AH_L
DELAYING    D_IH IH_L L_EH EH_IY IY_IH IH_NG
DEIGNING    D_EH EH_IY IY_N N_IH IH_NG
DEFILED    D_IH IH_F F_AA AA_IY IY_L L_D
DEFECTION    D_IH IH_F F_EH EH_K K_SH SH_AH AH_N
DEEMING    D_IY IY_M M_IH IH_NG
DEDICATION    D_EH EH_D D_AH AH_K K_EH EH_IY IY_SH SH_AH AH_N
DEBASING    D_IH IH_B B_EH EH_IY IY_S S_IH IH_NG
DEBASED    D_AH AH_B B_EH EH_IY IY_S S_T
DAYTON    D_EH EH_IY IY_T T_AH AH_N
DAYES    D_EH EH_IY IY_Z
DAWSON    D_AO AO_S S_AH AH_N
DAVIE    D_EH EH_IY IY_V V_IY
DAUNTLESS    D_AO AO_N N_T T_L L_AH AH_S
DAPPLE    D_AE AE_P P_AH AH_L
DAPPER    D_AE AE_P P_UH UH_R
DANVERS    D_AE AE_N N_V V_UH UH_R R_Z
DANCER    D_AE AE_N N_S S_UH UH_R
DAMAGES    D_AE AE_M M_IH IH_JH JH_IH IH_Z
DALY    D_EH EH_IY IY_L L_IY
CYPHER    S_AA AA_IY IY_F F_UH UH_R
CYNTHIA    S_IH IH_N N_TH TH_IY IY_AH
CYCLE    S_AA AA_IY IY_K K_AH AH_L
CURING    K_Y Y_UH UH_R R_IH IH_NG
CULMINATING    K_AH AH_L L_M M_AH AH_N N_EH EH_IY IY_T T_IH IH_NG
CUFF    K_AH AH_F
CRUELTIES    K_R R_UW UW_L L_T T_IY IY_Z
CRUCIFIED    K_R R_UW UW_S S_AH AH_F F_AA AA_IY IY_D
CROWED    K_R R_AO AO_UH UH_D
CROUCH    K_R R_AA AA_UH UH_CH
CROQUET    K_R R_AO AO_UH UH_K K_EH EH_IY
CRONIES    K_R R_AO AO_UH UH_N N_IY IY_Z
CROCODILES    K_R R_AA AA_K K_AH AH_D D_AA AA_IY IY_L L_Z
CRITICIZED    K_R R_IH IH_T T_AH AH_S S_AA AA_IY IY_Z Z_D
CRISS    K_R R_IH IH_S
CRIB    K_R R_IH IH_B
CRESTED    K_R R_EH EH_S S_T T_AH AH_D
CREEKS    K_R R_IY IY_K K_S
CREDULITY    K_R R_IH IH_D D_UW UW_L L_AH AH_T T_IY
CREDITOR    K_R R_EH EH_D D_IH IH_T T_UH UH_R
CREDIBLE    K_R R_EH EH_D D_AH AH_B B_AH AH_L
CREAMY    K_R R_IY IY_M M_IY
CRAWFORD    K_R R_AO AO_F F_UH UH_R R_D
COZY    K_AO AO_UH UH_Z Z_IY
COURTIER    K_AO AO_R R_T T_IY IY_UH UH_R
COURAGEOUSLY    K_UH UH_R R_EH EH_IY IY_JH JH_AH AH_S S_L L_IY
COSTING    K_AO AO_S S_T T_IH IH_NG
COSSACK    K_AO AO_S S_AH AH_K
CORRUPTING    K_UH UH_R R_AH AH_P P_T T_IH IH_NG
CORRELATIVE    K_AO AO_R R_AH AH_L L_AH AH_T T_IH IH_V
CORRECTIVE    K_UH UH_R R_EH EH_K K_T T_IH IH_V
CORNPLANTER    K_AO AO_R R_N N_P P_L L_AE AE_N N_T T_UH UH_R
CORINTHIAN    K_UH UH_R R_IH IH_N N_TH TH_IY IY_AH AH_N
CORDOVA    K_AO AO_R R_D D_AO AO_UH UH_V V_AH
CORDAY    K_AO AO_R R_D D_EH EH_IY
CORA    K_AO AO_R R_AH
COQUETTISH    K_AH AH_K K_EH EH_T T_IH IH_SH
COQUETRY    K_AO AO_UH UH_K K_W W_AH AH_T T_R R_IY
COPIOUS    K_AO AO_UH UH_P P_IY IY_AH AH_S
CONVULSED    K_AH AH_N N_V V_AH AH_L L_S S_T
CONTRIBUTOR    K_AH AH_N N_T T_R R_IH IH_B B_Y Y_AH AH_T T_UH UH_R
CONTRIBUTING    K_AH AH_N N_T T_R R_IH IH_B B_Y Y_UW UW_T T_IH IH_NG
CONTEMPLATIVE    K_AH AH_N N_T T_EH EH_M M_P P_L L_AH AH_T T_IH IH_V
CONSTRUED    K_AH AH_N N_S S_T T_R R_UW UW_D
CONSTITUTING    K_AA AA_N N_S S_T T_AH AH_T T_UW UW_T T_IH IH_NG
CONSPIRE    K_AH AH_N N_S S_P P_AA AA_IY IY_UH UH_R
CONSCRIPTION    K_AH AH_N N_S S_K K_R R_IH IH_P P_SH SH_AH AH_N
CONNECTS    K_AH AH_N N_EH EH_K K_T T_S
CONFIRMS    K_AH AH_N N_F F_UH UH_R R_M M_Z
CONFECTIONER    K_AH AH_N N_F F_EH EH_K K_SH SH_AH AH_N N_UH UH_R
CONDOLENCE    K_AH AH_N N_D D_AO AO_UH UH_L L_AH AH_N N_S
CONDESCENDING    K_AA AA_N N_D D_IH IH_S S_EH EH_N N_D D_IH IH_NG
CONDEMNS    K_AH AH_N N_D D_EH EH_M M_Z
CONCLUDES    K_AH AH_N N_K K_L L_UW UW_D D_Z
CONCIERGE    K_AA AA_N N_S S_IY IY_EH EH_R R_ZH
CONCERTED    K_AH AH_N N_S S_UH UH_R R_T T_IH IH_D
CONCEPT    K_AA AA_N N_S S_EH EH_P P_T
CONCEDE    K_AH AH_N N_S S_IY IY_D
CONCAVE    K_AA AA_N N_K K_EH EH_IY IY_V
COMPREHENSIBLE    K_AA AA_M M_P P_R R_IY IY_HH HH_EH EH_N N_S S_AH AH_B B_AH AH_L
COMPONENT    K_AH AH_M M_P P_AO AO_UH UH_N N_AH AH_N N_T
COMPLAINS    K_AH AH_M M_P P_L L_EH EH_IY IY_N N_Z
COMPLACENT    K_AH AH_M M_P P_L L_EH EH_IY IY_S S_AH AH_N N_T
COMMODORE    K_AA AA_M M_AH AH_D D_AO AO_R
COMMENCES    K_AH AH_M M_EH EH_N N_S S_AH AH_Z
COMFORTLESS    K_AH AH_M M_F F_UH UH_R R_T T_L L_AH AH_S
COMAS    K_AO AO_UH UH_M M_AH AH_Z
COLTS    K_AO AO_UH UH_L L_T T_S
COLLINGWOOD    K_AA AA_L L_IH IH_NG NG_W W_UH UH_D
COLBRAND    K_AO AO_UH UH_L L_B B_R R_AH AH_N N_D
COHORTS    K_AO AO_UH UH_HH HH_AO AO_R R_T T_S
COHERENCE    K_AO AO_UH UH_HH HH_IH IH_R R_AH AH_N N_S
COGNIZANCE    K_AA AA_G G_N N_AH AH_Z Z_AH AH_N N_S
COFFINS    K_AO AO_F F_IH IH_N N_Z
COBALT    K_AO AO_UH UH_B B_AO AO_L L_T
CLOVE    K_L L_AO AO_UH UH_V
CLOSETS    K_L L_AA AA_Z Z_AH AH_T T_S
CLONMEL    K_L L_AA AA_N N_M M_AH AH_L
CLOISTERS    K_L L_AO AO_IY IY_S S_T T_UH UH_R R_Z
CLINKING    K_L L_IH IH_NG NG_K K_IH IH_NG
CLINCHED    K_L L_IH IH_N N_CH CH_T
CLIME    K_L L_AA AA_IY IY_M
CLEOPATRA    K_L L_IY IY_AH AH_P P_AE AE_T T_R R_AH
CLEMENCY    K_L L_EH EH_M M_AH AH_N N_S S_IY
CLEARS    K_L L_IH IH_R R_Z
CLAWED    K_L L_AO AO_D
CLAUSES    K_L L_AO AO_Z Z_IH IH_Z
CLATTERING    K_L L_AE AE_T T_UH UH_R R_IH IH_NG
CLARK'S    K_L L_AA AA_R R_K K_S
CLAMOROUS    K_L L_AE AE_M M_UH UH_R R_AH AH_S
CIRCUMSTANTIAL    S_UH UH_R R_K K_AH AH_M M_S S_T T_AE AE_N N_SH SH_AH AH_L
CIRCUMSPECT    S_UH UH_R R_K K_AH AH_M M_S S_P P_EH EH_K K_T
CHURCH'S    CH_UH UH_R R_CH CH_AH AH_Z
CHRONOMETER    K_R R_AA AA_N N_AH AH_M M_IY IY_T T_UH UH_R
CHRISTIE    K_R R_IH IH_S S_T T_IY
CHRISTENING    K_R R_IH IH_S S_N N_IH IH_NG
CHIRP    CH_UH UH_R R_P
CHILLS    CH_IH IH_L L_Z
CHERUB    CH_EH EH_R R_AH AH_B
CHERKIS    CH_UH UH_R R_K K_IH IH_S
CHERISHING    CH_EH EH_R R_IH IH_SH SH_IH IH_NG
CHEQUES    CH_EH EH_K K_S
CHEMICALS    K_EH EH_M M_IH IH_K K_AH AH_L L_Z
CHEAPLY    CH_IY IY_P P_L L_IY
CHATTEL    CH_AE AE_T T_AH AH_L
CHATHAM    CH_AE AE_T T_AH AH_M
CHARGER    CH_AA AA_R R_JH JH_UH UH_R
CHANCEL    CH_AE AE_N N_S S_AH AH_L
CHALONER    CH_AH AH_L L_AO AO_UH UH_N N_UH UH_R
CENSORIOUS    S_EH EH_N N_S S_UH UH_R R_AA AA_IY IY_AH AH_S
CEDRIC    S_IY IY_D D_R R_IH IH_K
CATHOLICISM    K_AH AH_TH TH_AO AO_L L_AH AH_S S_IH IH_Z Z_AH AH_M
CATERPILLARS    K_AE AE_T T_AH AH_P P_IH IH_L L_UH UH_R R_Z
CASWALL    K_AE AE_Z Z_W W_AO AO_L
CASTOR    K_AE AE_S S_T T_UH UH_R
CASTILIAN    K_AA AA_S S_T T_IH IH_L L_Y Y_AH AH_N
CASTAWAYS    K_AE AE_S S_T T_AH AH_W W_EH EH_IY IY_Z
CASSON    K_AE AE_S S_AH AH_N
CASSIUS    K_AE AE_S S_IY IY_AH AH_S
CARVER    K_AA AA_R R_V V_UH UH_R
CARTAGENA    K_AA AA_R R_T T_AH AH_JH JH_IY IY_N N_AH
CARPENTERING    K_AA AA_R R_P P_AH AH_N N_T T_UH UH_R R_IH IH_NG
CARLYLE'S    K_AA AA_R R_L L_AA AA_IY IY_L L_Z
CARGOES    K_AA AA_R R_G G_AO AO_UH UH_Z
CARESSINGLY    K_UH UH_R R_EH EH_S S_IH IH_NG NG_L L_IY
CARDLESTONE    K_AA AA_R R_D D_AH AH_L L_S S_T T_AO AO_UH UH_N
CAPTOR    K_AE AE_P P_T T_UH UH_R
CAPTIVATING    K_AE AE_P P_T T_IH IH_V V_EH EH_IY IY_T T_IH IH_NG
CAPTIVATE    K_AE AE_P P_T T_IH IH_V V_EH EH_IY IY_T
CAPPED    K_AE AE_P P_T
CAPITAN    K_AE AE_P P_IH IH_T T_AH AH_N
CAPES    K_EH EH_IY IY_P P_S
CANINE    K_EH EH_IY IY_N N_AA AA_IY IY_N
CALVARY    K_AE AE_L L_V V_UH UH_R R_IY
CALDRON    K_AO AO_L L_D D_R R_AH AH_N
CALCULUS    K_AE AE_L L_K K_Y Y_AH AH_L L_AH AH_S
CABINETS    K_AE AE_B B_N N_AH AH_T T_S
BUTTS    B_AH AH_T T_S
BUTTE    B_Y Y_UW UW_T
BUTCHERY    B_UH UH_CH CH_UH UH_R R_IY
BUTCHERS    B_UH UH_CH CH_UH UH_R R_Z
BUSTLED    B_AH AH_S S_AH AH_L L_D
BUSBY    B_AH AH_Z Z_B B_IY
BURWELL    B_UH UH_R R_W W_EH EH_L
BUOYANT    B_AO AO_IY IY_AH AH_N N_T
BUOYANCY    B_AO AO_IY IY_AH AH_N N_S S_IY
BUOY    B_UW UW_IY
BUDGE    B_AH AH_JH
BRUTISH    B_R R_UW UW_T T_IH IH_SH
BRUNSWICK    B_R R_AH AH_N N_Z Z_W W_IH IH_K
BRUISING    B_R R_UW UW_Z Z_IH IH_NG
BROWED    B_R R_AA AA_UH UH_D
BROOME    B_R R_UW UW_M
